2023-08-21 15:00:26.051 [info] Log level: Info
2023-08-21 15:00:26.051 [info] Validating found git in: "git"
2023-08-21 15:00:26.051 [info] Using git "2.25.1" from "git"
2023-08-21 15:01:01.936 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:01:28.949 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:01:35.268 [info] > git rev-parse --show-toplevel [2ms]
2023-08-21 15:01:41.795 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:01:42.983 [info] > git rev-parse --show-toplevel [2ms]
2023-08-21 15:01:48.878 [info] > git rev-parse --show-toplevel [4ms]
2023-08-21 15:01:50.126 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:01:57.938 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:04:00.196 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:04:15.547 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:04:44.526 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:05:34.650 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:08:12.721 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:08:17.413 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:08:49.497 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:08:56.966 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:09:08.345 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:12:17.483 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:12:52.361 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:27:34.873 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:33:23.071 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:33:26.963 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:33:40.611 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 15:33:55.009 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:10:31.189 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:10:37.935 [info] > git rev-parse --show-toplevel [0ms]
2023-08-21 16:12:27.885 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:17:47.963 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:19:26.536 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:19:49.727 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:19:51.504 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:34:24.981 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:34:26.409 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:34:27.948 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:34:30.623 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:37:08.307 [info] > git rev-parse --show-toplevel [0ms]
2023-08-21 16:37:10.992 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:52:19.201 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:52:26.641 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:52:28.605 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:52:39.852 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:52:40.932 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 16:52:42.193 [info] > git rev-parse --show-toplevel [0ms]
2023-08-21 16:52:48.145 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 17:06:03.547 [info] > git rev-parse --show-toplevel [1ms]
2023-08-21 17:06:29.366 [info] > git rev-parse --show-toplevel [0ms]
2023-08-21 17:12:12.712 [info] > git rev-parse --show-toplevel [1ms]
